date,Hospitalized Census 5%,Hospitalized Census 25%,Hospitalized Census Median,Hospitalized Census 75%,Hospitalized Census %95,ICU Census 5%,ICU Census 25%,ICU Census Median,ICU Census 75%,ICU Census %95,Vent Census 5%,Vent Census 25%,Vent Census Median,Vent Census 75%,Vent Census %95,Hospitalized Admits 5%,Hospitalized Admits 25%,Hospitalized Admits Median,Hospitalized Admits 75%,Hospitalized Admits %95,ICU Admits 5%,ICU Admits 25%,ICU Admits Median,ICU Admits 75%,ICU Admits %95,Vent Admits 5%,Vent Admits 25%,Vent Admits Median,Vent Admits 75%,Vent Admits %95
2020-05-05,18.212266914215007,22.0580038834,24.7953017166,28.0440537385,32.8795052888,3.0269365437,5.6767294153,7.7851658335,10.4433415362,14.865980800900001,4.5695557133,6.3158505738,7.7575583516,9.4808152472,11.7267882569,0,1,2,3,5,0,0,1,1,3,0,0,1,1,2
2020-05-06,17.6905506331,21.4388705861,24.4185663924,27.3053791225,32.6179152835,2.8914305842,5.4909490914,7.77383253695,10.1752499155,14.7686653005,4.4540408605,6.2292961147,7.6521849004,9.3136830153,11.6055495862,0,1,2,3,5,0,0,1,1,3,0,0,1,1,2
2020-05-07,17.14029774551,20.9048217478,23.7604059494,26.9265398912,32.4754826544,2.7908789695,5.3244701078,7.6211137062,9.937968983375,14.124749713,4.1870571103,6.0565079289,7.4159736519,9.1384903727,11.4440066192,0,1,2,3,5,0,0,1,1,2,0,0,0,1,2
2020-05-08,16.4540502043,20.2745014318,23.377992392750002,26.3982494895,32.0037376052,2.6398805439,5.1960390354,7.4810696319,9.8487404383,13.8723471989,4.0500031775,5.8341263343000005,7.3112203194,8.923432538,11.3561494889,0,1,2,3,5,0,0,1,1,3,0,0,1,1,2
2020-05-09,15.8660306531,19.7888702416,22.756906495,26.0475836686,31.3666061681,2.5821679094,4.9993344089,7.2917135187,9.6373415003,13.6612486178,4.022646388,5.6044264704,7.0913629839,8.6414203704,11.2874005223,0,1,2,3,5,0,0,1,1,2,0,0,0,1,2
2020-05-10,15.4196662872,19.146354685,22.0809884653,25.6959805922,31.0068119334,2.4055424635,4.8038484371,7.0772423482,9.411980525,13.1134794658,3.9626049798,5.4729784209,6.8707778715500005,8.5187421028,11.2722207966,0,1,2,3,5,0,0,0,1,2,0,0,0,1,2
2020-05-11,14.7065574666,18.5762098989,21.7471695713,25.1932478757,30.4243790964,2.5266657418,4.6988574985,6.93763590855,9.2252867569,12.9628580087,3.6775542675999997,5.3159592755,6.7362396131,8.4817230695,11.0328590107,0,1,2,3,5,0,0,1,1,2,0,0,0,1,2
2020-05-12,14.1285704382,18.0947365047,21.2774189348,24.8468044685,30.443264566839833,2.3141589683,4.6372241384,6.7153259659,8.9999134292,12.5932732172,3.4375345844,5.2091320241,6.6834668282,8.3383016833,10.7291465426,0,1,2,3,5,0,0,1,1,2,0,0,0,1,2
2020-05-13,13.7789947008,17.5735402906,20.7290360416,24.6105290333,30.1893587493,2.2536238789,4.4510267749,6.5904732121,8.7723361998,12.4091781584,3.3031120048,5.0151966876,6.4577084328,8.1575180373,10.5939503098,0,1,2,3,5,0,0,0,1,2,0,0,0,1,2
2020-05-14,13.020151309,17.1235418275,20.3409850215,24.2369039737,30.2444012855,2.292590461,4.3647838477,6.3880760513,8.785375924,12.6130129047,3.1997781011,4.9252410568,6.36296353,8.0421664318,10.5906051286,0,1,2,3,5,0,0,0,1,2,0,0,0,1,2
2020-05-15,12.4677636076,16.5204014835,20.0365067416,23.9552344346,30.5593306398,2.0780592685,4.2640207195,6.2880904139,8.5552696093,12.3165927502,3.0995701035,4.7863130071,6.2072937864,7.8107324388,10.732235406400001,0,1,1,3,5,0,0,0,1,2,0,0,0,1,2
2020-05-16,11.8340132238,15.7843891318,19.34497835665,23.5219582541,29.9650797015,1.92155941,4.1677417119,6.1425958888,8.465564943,12.3049122955,2.9890426752,4.5230841803,5.9249171797999995,7.7862944156000005,10.5595358679,0,1,1,2,5,0,0,0,1,2,0,0,0,1,2
